,Board State,Score,Best Move,Depth
4434,"((0, -1, 0), (0, 0, 0), (1, 0, 1))",2,"(0, 0)",3
4468,"((0, 0, 0), (0, 0, 0), (1, -1, 1))",0,"(1, 1)",3
1849,"((-1, 1, 0), (0, 1, 0), (0, 0, 0))",0,"(2, 1)",3
4380,"((0, 0, 0), (-1, 0, 1), (0, 0, 1))",0,"(0, 2)",3
4376,"((0, 0, 0), (-1, 0, 1), (0, 1, 0))",0,"(0, 2)",3
4445,"((0, 0, -1), (0, 0, 0), (1, 0, 1))",2,"(0, 0)",3
4319,"((0, -1, 0), (0, 0, 1), (0, 1, 0))",0,"(2, 0)",3
4386,"((0, 0, 0), (0, -1, 1), (1, 0, 0))",0,"(0, 1)",3
4458,"((0, 0, 0), (0, -1, 0), (1, 1, 0))",0,"(2, 2)",3
4369,"((0, 0, 0), (-1, 0, 1), (1, 0, 0))",0,"(0, 2)",3
4461,"((0, 0, 0), (0, -1, 0), (1, 0, 1))",0,"(2, 1)",3
4303,"((0, -1, 0), (0, 0, 1), (1, 0, 0))",0,"(1, 1)",3
4440,"((0, 0, -1), (0, 0, 0), (1, 1, 0))",-2,"(2, 2)",3
4464,"((0, 0, 0), (0, 0, -1), (1, 1, 0))",-2,"(2, 2)",3
4390,"((0, 0, 0), (0, -1, 1), (0, 1, 0))",0,"(0, 2)",3
4466,"((0, 0, 0), (0, 0, -1), (1, 0, 1))",2,"(0, 0)",3
